station,valid,sped
MAF,2021-02-06 13:53,19.55
MAF,2021-02-06 14:53,24.15
MAF,2021-02-06 15:53,21.85
MAF,2021-02-06 16:53,24.15
MAF,2021-02-06 17:53,19.55
MAF,2021-02-06 18:53,19.55
MAF,2021-02-06 19:53,14.95
MAF,2021-02-06 20:53,14.95
MAF,2021-02-06 21:53,13.80
MAF,2021-02-06 22:53,9.20
MAF,2021-02-06 23:53,5.75
MAF,2021-02-07 00:53,5.75
MAF,2021-02-07 01:53,8.05
MAF,2021-02-07 02:53,8.05
MAF,2021-02-07 03:53,5.75
MAF,2021-02-07 04:53,6.90
MAF,2021-02-07 05:53,8.05
MAF,2021-02-07 06:53,8.05
MAF,2021-02-07 07:53,8.05
MAF,2021-02-07 08:53,6.90
MAF,2021-02-07 09:53,6.90
MAF,2021-02-07 10:53,10.35
MAF,2021-02-07 11:53,11.50
MAF,2021-02-07 12:53,13.80
MAF,2021-02-07 13:53,13.80
MAF,2021-02-07 14:53,13.80
MAF,2021-02-07 15:53,16.10
MAF,2021-02-07 16:53,19.55
MAF,2021-02-07 17:53,18.40
MAF,2021-02-07 18:53,21.85
MAF,2021-02-07 19:53,19.55
MAF,2021-02-07 20:53,14.95
MAF,2021-02-07 21:53,14.95
MAF,2021-02-07 22:53,16.10
MAF,2021-02-07 23:53,14.95
MAF,2021-02-08 00:53,13.80
MAF,2021-02-08 01:53,13.80
MAF,2021-02-08 02:53,14.95
MAF,2021-02-08 03:53,13.80
MAF,2021-02-08 04:53,12.65
MAF,2021-02-08 05:53,10.35
MAF,2021-02-08 06:53,11.50
MAF,2021-02-08 07:53,11.50
MAF,2021-02-08 08:53,9.20
MAF,2021-02-08 09:53,10.35
MAF,2021-02-08 10:53,11.50
MAF,2021-02-08 11:53,9.20
MAF,2021-02-08 12:53,10.35
MAF,2021-02-08 13:53,13.80
MAF,2021-02-08 14:53,6.90
MAF,2021-02-08 15:53,8.05
MAF,2021-02-08 16:53,8.05
MAF,2021-02-08 17:53,8.05
MAF,2021-02-08 18:53,6.90
MAF,2021-02-08 19:53,10.35
MAF,2021-02-08 20:53,8.05
MAF,2021-02-08 21:53,9.20
MAF,2021-02-08 22:53,13.80
MAF,2021-02-08 23:53,8.05
MAF,2021-02-09 00:53,4.60
MAF,2021-02-09 01:53,5.75
MAF,2021-02-09 02:53,9.20
MAF,2021-02-09 03:53,10.35
MAF,2021-02-09 04:53,9.20
MAF,2021-02-09 05:53,10.35
MAF,2021-02-09 06:53,0.00
MAF,2021-02-09 07:53,0.00
MAF,2021-02-09 08:53,6.90
MAF,2021-02-09 09:53,4.60
MAF,2021-02-09 10:53,3.45
MAF,2021-02-09 11:53,4.60
MAF,2021-02-09 12:53,9.20
MAF,2021-02-09 13:04,10.35
MAF,2021-02-09 13:28,9.20
MAF,2021-02-09 13:51,9.20
MAF,2021-02-09 13:53,10.35
MAF,2021-02-09 14:53,9.20
MAF,2021-02-09 15:08,8.05
MAF,2021-02-09 15:53,11.50
MAF,2021-02-09 16:53,6.90
MAF,2021-02-09 17:53,8.05
MAF,2021-02-09 18:24,8.05
MAF,2021-02-09 18:53,9.20
MAF,2021-02-09 19:01,9.20
MAF,2021-02-09 19:53,10.35
MAF,2021-02-09 20:53,12.65
MAF,2021-02-09 21:53,12.65
MAF,2021-02-09 22:53,11.50
MAF,2021-02-09 23:53,12.65
MAF,2021-02-10 00:53,13.80
MAF,2021-02-10 01:53,10.35
MAF,2021-02-10 02:53,10.35
MAF,2021-02-10 03:53,8.05
MAF,2021-02-10 04:53,9.20
MAF,2021-02-10 05:53,9.20
MAF,2021-02-10 06:05,9.20
MAF,2021-02-10 06:27,9.20
MAF,2021-02-10 06:53,11.50
MAF,2021-02-10 07:28,11.50
MAF,2021-02-10 07:48,10.35
MAF,2021-02-10 07:53,9.20
MAF,2021-02-10 08:42,9.20
MAF,2021-02-10 08:53,9.20
MAF,2021-02-10 09:53,10.35
MAF,2021-02-10 10:09,11.50
MAF,2021-02-10 10:53,10.35
MAF,2021-02-10 11:45,10.35
MAF,2021-02-10 11:53,10.35
MAF,2021-02-10 12:53,8.05
MAF,2021-02-10 13:53,9.20
MAF,2021-02-10 14:53,10.35
MAF,2021-02-10 15:53,9.20
MAF,2021-02-10 16:53,9.20
MAF,2021-02-10 17:53,12.65
MAF,2021-02-10 18:53,11.50
MAF,2021-02-10 19:53,11.50
MAF,2021-02-10 20:53,14.95
MAF,2021-02-10 21:53,16.10
MAF,2021-02-10 22:53,17.25
MAF,2021-02-10 23:53,17.25
MAF,2021-02-11 00:53,17.25
MAF,2021-02-11 01:53,17.25
MAF,2021-02-11 02:53,14.95
MAF,2021-02-11 03:33,13.80
MAF,2021-02-11 03:53,12.65
MAF,2021-02-11 04:07,12.65
MAF,2021-02-11 04:11,13.80
MAF,2021-02-11 04:53,16.10
MAF,2021-02-11 05:53,13.80
MAF,2021-02-11 06:02,13.80
MAF,2021-02-11 06:16,13.80
MAF,2021-02-11 06:53,16.10
MAF,2021-02-11 07:25,13.80
MAF,2021-02-11 07:35,12.65
MAF,2021-02-11 07:41,14.95
MAF,2021-02-11 07:53,16.10
MAF,2021-02-11 08:11,16.10
MAF,2021-02-11 08:18,16.10
MAF,2021-02-11 08:36,13.80
MAF,2021-02-11 08:53,14.95
MAF,2021-02-11 09:53,14.95
MAF,2021-02-11 09:59,13.80
MAF,2021-02-11 10:13,11.50
MAF,2021-02-11 10:53,13.80
MAF,2021-02-11 11:53,12.65
MAF,2021-02-11 12:53,11.50
MAF,2021-02-11 13:53,11.50
MAF,2021-02-11 14:53,14.95
MAF,2021-02-11 15:53,12.65
MAF,2021-02-11 16:53,8.05
MAF,2021-02-11 17:53,3.45
MAF,2021-02-11 18:53,4.60
MAF,2021-02-11 19:53,5.75
MAF,2021-02-11 20:53,9.20
MAF,2021-02-11 21:53,8.05
MAF,2021-02-11 22:53,5.75
MAF,2021-02-11 23:43,6.90
MAF,2021-02-11 23:53,8.05
MAF,2021-02-12 00:53,6.90
MAF,2021-02-12 01:07,5.75
MAF,2021-02-12 01:15,6.90
MAF,2021-02-12 01:53,6.90
MAF,2021-02-12 02:53,5.75
