"","wind_speed_LGF","wind_speed_NYL","wind_speed_NOZ","wind_speed_ODO","wind_speed_MAF","wind_speed_MDD"
"405",2.3,1.725,9.775,9.2,4.025,6.325
"406",2.3,6.9,9.775,8.625,9.2,5.175
"407",4.025,8.05,4.025,12.65,9.775,6.9
"408",5.75,7.475,7.475,9.775,12.65,9.2
"409",8.625,5.175,4.6,9.2,9.775,8.05
"410",1.725,2.875,3.45,10.35,9.2,8.625
"411",0,4.025,8.05,12.65,7.475,6.9
"412",2.3,2.3,5.75,11.5,8.625,6.9
"413",2.3,1.725,6.9,9.2,9.2,8.05
"414",0,1.725,6.325,8.05,9.775,11.5
"415",7.475,4.6,1.725,7.475,6.325,9.2
"416",0,0,2.3,15.525,17.825,12.65
"417",1.725,3.45,7.475,17.825,18.975,20.125
"418",5.75,5.75,7.475,14.95,17.825,15.525
"419",4.025,6.9,10.35,17.825,14.375,14.95
"420",5.175,7.475,13.225,14.95,14.375,14.95
"421",8.625,5.75,9.775,12.65,11.5,12.65
"422",10.925,4.025,9.2,14.95,12.65,13.8
"423",9.2,1.725,8.625,10.35,9.2,10.35
"424",5.175,2.3,9.775,9.775,7.475,9.2
"425",2.3,6.325,10.35,10.925,5.175,6.9
"426",6.9,6.325,5.75,8.05,4.025,5.75
"427",5.75,5.75,6.9,10.35,6.9,5.75
"428",8.05,6.325,7.475,15.525,17.25,13.8
"429",7.475,9.775,8.05,16.675,21.85,17.25
"430",6.9,9.2,5.175,16.1,17.25,16.675
"431",9.775,7.475,0,20.125,20.125,16.675
"432",8.05,5.75,4.6,20.125,24.725,20.125
"433",6.325,5.175,5.75,19.55,20.125,18.975
"434",6.9,8.625,7.475,17.825,18.4,16.1
"435",6.325,10.925,6.325,16.675,16.1,16.675
"436",5.175,8.625,4.025,17.825,17.825,13.8
"437",6.325,7.475,6.9,15.525,17.25,14.95
"438",5.75,9.2,7.475,17.25,21.275,17.825
"439",0,8.05,7.475,16.675,19.55,17.25
"440",5.75,8.625,11.5,16.1,20.125,21.275
"441",12.65,13.8,10.35,18.4,20.125,16.675
"442",20.7,18.4,17.25,18.4,19.55,18.975
"443",18.975,19.55,23,18.4,21.275,19.55
"444",15.525,25.875,23.575,18.975,22.425,17.825
"445",16.1,13.225,21.275,18.4,21.85,18.4
"446",14.95,8.625,17.25,18.975,20.125,18.4
"447",9.775,13.225,12.075,17.25,18.4,18.4
